city_rus,region_rus,city_eng,region_eng,region_ISO_code
Абаза,Республика Хакасия ,Abaza,Republic of Khakassia,RU-KK
Абакан,Республика Хакасия ,Abakan,Republic of Khakassia,RU-KK
Абдулино,Оренбургская область ,Abdulino,Orenburg Oblast,RU-ORE
Абинск,Краснодарский край ,Abinsk,Krasnodar Krai,RU-KDA
Агидель,Республика Башкортостан ,Agidel,Republic of Bashkortostan,RU-BA
Агрыз,Республика Татарстан ,Agryz,Republic of Tatarstan,RU-TA
Адыгейск,Республика Адыгея ,Adygeysk,Republic of Adygea,RU-AD
Азнакаево,Республика Татарстан ,Aznakayevo,Republic of Tatarstan,RU-TA
Азов,Ростовская область ,Azov,Rostov Oblast,RU-ROS
Ак-Довурак,Республика Тыва ,Ak-Dovurak,Tuva Republic,RU-TY
Аксай,Ростовская область ,Aksay,Rostov Oblast,RU-ROS
Алагир,Республика Северная Осетия - Алания ,Alagir,Republic of North Ossetia-Alania,RU-SE
Алапаевск,Свердловская область ,Alapayevsk,Sverdlovsk Oblast,RU-SVE
Алатырь,Чувашская Республика ,Alatyr,Chuvash Republic,RU-CU
Алдан,Республика Саха (Якутия) ,Aldan,Sakha Republic,RU-SA
Алейск,Алтайский край ,Aleysk,Altai Krai,RU-ALT
Александров,Владимирская область ,Alexandrov,Vladimir Oblast,RU-VLA
Александровск,Пермский край ,Alexandrovsk,Perm Krai,RU-PER
Александровск-Сахалинский,Сахалинская область ,Alexandrovsk-Sakhalinsky,Sakhalin Oblast,RU-SAK
Алексеевка,Белгородская область ,Alexeyevka,Belgorod Oblast,RU-BEL
Алексин,Тульская область ,Aleksin,Tula Oblast,RU-TUL
Алзамай,Иркутская область ,Alzamay,Irkutsk Oblast,RU-IRK
Алупка,Республика Крым ,Alupka,Republic of Crimea,UA-43
Алушта,Республика Крым ,Alushta,Republic of Crimea,UA-43
Альметьевск,Республика Татарстан ,Almetyevsk,Republic of Tatarstan,RU-TA
Амурск,Хабаровский край ,Amursk,Khabarovsk Krai,RU-KHA
